borrower_last,builder_name,fico,forward_commitment,fund_date,loan_amount,loan_id,loan_number,purpose
Susan Thompson,James Flores,734,N,2025-01-03,436905,331,5175413091,Purchase
Daniel Wright,"Donald Moore,David Ramirez",806,N,2025-01-03,352000,332,3255867740,Purchase
Christopher Lee,Mark Williams,736,N,2025-01-03,517200,333,8981484572,Purchase
Donna Hernandez,Michelle Smith,773,N,2025-01-06,288000,334,962406221,Purchase
Betty Walker,Karen Rodriguez,752,N,2025-01-06,806500,335,1784061909,Purchase
Daniel Nguyen,,788,N,2025-01-06,960000,336,1470223457,Cash-Out Refinance
Lisa Perez,Margaret Nguyen,756,N,2025-01-06,697300,337,9474541351,Purchase
Joshua Scott,,650,N,2025-01-06,629101,338,1115952449,NoCash-Out Refinance
Ashley Garcia,Michael Harris,758,N,2025-01-06,391890,339,8454373304,Purchase
Steven Williams,,739,N,2025-01-06,530347,340,5520830206,NoCash-Out Refinance
Emily Taylor,,806,N,2025-01-06,241099,341,1531524621,NoCash-Out Refinance
Donald Wright,"Ashley Martinez,Mark Wright",739,N,2025-01-06,334650,342,6828359793,Purchase
Steven Sanchez,,670,N,2025-01-06,349002,343,7992188089,NoCash-Out Refinance
Joseph Davis,Sarah Torres,790,N,2025-01-08,300063,344,8906399410,Purchase
Paul Garcia,Elizabeth Gonzalez,764,N,2025-01-08,705000,345,2947703458,Purchase
David White,Susan Young,683,N,2025-01-08,763633,346,3738340093,Purchase
Joseph Jones,Steven Wright,675,N,2025-01-08,11975,347,6496817214,Purchase
Jessica Lee,Kimberly Hill,752,N,2025-01-08,468000,348,4359296171,Purchase
Elizabeth Anderson,"Donna Sanchez,Christopher Hernandez",741,N,2025-01-08,331987,349,2770070030,Purchase
Elizabeth Robinson,Patricia Taylor,728,N,2025-01-08,218250,350,5963429146,Purchase
Donald Lopez,William Wright,629,N,2025-01-08,304385,351,1922726990,Purchase
Emily Thompson,Michael Thomas,654,N,2025-01-08,6000,352,3050242541,Purchase
Richard Jones,Richard Lee,764,N,2025-01-08,278869,353,6596003836,Purchase
James Miller,Jessica Johnson,783,N,2025-01-08,475000,354,1502584552,Purchase
Daniel Rodriguez,Linda Brown,633,N,2025-01-08,176225,355,6939644544,Purchase
William Rodriguez,Thomas Thomas,799,N,2025-01-08,110000,356,7573035165,Purchase
Jessica Brown,Christopher Scott,793,N,2025-01-08,750000,357,3343397897,Purchase
Andrew Gonzalez,"Steven Wilson,Mark Wright",613,N,2025-01-02,293681,358,9629766764,Purchase
Mark Wilson,"Susan Davis,Mark Wright",767,N,2025-01-02,372400,359,8811567500,Purchase
Donna Young,Robert Jones,739,N,2025-01-02,287280,360,4582918644,Purchase
Charles Clark,Patricia Johnson,670,N,2025-01-02,399000,361,2762730588,Purchase
Michelle Allen,Charles Jones,680,N,2025-01-02,257058,362,8465671198,Purchase
Barbara Thompson,"Anthony Robinson, 2015",725,N,2025-01-02,958500,363,4571111155,Purchase
Kimberly Scott,,781,N,2025-01-02,504000,364,411036986,NoCash-Out Refinance
David White,Nancy Lopez,791,N,2025-01-02,215000,365,4320356659,Purchase
Betty Wilson,"Donna Rodriguez,Thomas Moore,Michelle King",713,N,2025-01-02,295850,366,2584601377,Purchase
Karen Perez,"William Torres,Daniel Ramirez",785,N,2025-01-02,2340000,367,4111966648,Purchase
Daniel Brown,Andrew Flores,808,N,2025-01-02,460000,368,6139077673,Purchase
Margaret Davis,"Charles Thomas,Mark Wright",795,N,2025-01-02,261250,369,6714890305,Purchase
Thomas Williams,Richard Sanchez,773,N,2025-01-02,100000,370,4087226622,Purchase
David Brown,Daniel Gonzalez,799,N,2025-01-13,462064,371,6909163891,Purchase
Mary Ramirez,Donna Anderson,820,N,2025-01-13,289990,372,9221377226,Purchase
Sandra Wilson,Christopher Johnson,689,N,2025-01-13,115893,373,5836112754,Purchase
Ashley Clark,Thomas Miller,732,N,2025-01-13,61200,374,3768878562,Purchase
Susan Gonzalez,,773,N,2025-01-13,1347800,375,5846612991,NoCash-Out Refinance
Sandra Brown,Anthony Anderson,587,N,2025-01-13,298493,376,2959906645,Purchase
Sandra Walker,Sarah Ramirez,695,N,2025-01-13,290106,377,8551404601,Purchase
Karen Clark,,806,N,2025-01-13,198000,378,9242283325,Cash-Out Refinance
Betty Moore,Lisa Wilson,665,N,2025-01-13,391400,379,6941313818,Purchase
Mary Thompson,,657,N,2025-01-13,541600,380,6422254026,Cash-Out Refinance
Paul Lopez,Patricia Wilson,640,N,2025-01-13,352000,381,8030505280,Purchase
Donald Allen,Sandra Torres,746,N,2025-01-13,260930,382,4047963793,Purchase
Betty Nguyen,Steven Wright,752,N,2025-01-13,806500,383,7660704440,Purchase
Sandra Perez,,580,N,2025-01-13,230362,384,7342057603,Cash-Out Refinance
Thomas Davis,Michelle Nguyen,684,,2025-01-13,63330,385,208184087,Cash-Out Refinance
Donna Taylor,Christopher Martin,782,N,2025-01-13,535500,386,3804168108,Purchase
Steven Thompson,"William Harris,Nancy Thompson",790,N,2025-01-13,69600,387,9691788159,Purchase
Joshua Hernandez,Sandra Smith,754,N,2025-01-03,512000,388,6174761959,Purchase
Mark Rodriguez,John Moore,719,N,2025-01-03,484100,389,3406319708,Purchase
James Williams,Thomas Gonzalez,734,N,2025-01-03,329703,390,6221933548,Purchase
Sarah Rodriguez,"Joshua Harris,Joseph Williams",798,N,2025-01-03,489300,391,2032643291,Purchase
Nancy Clark,Betty Miller,652,N,2025-01-03,143256,392,5733909403,Purchase
Andrew Davis,Ashley Wright,758,N,2025-01-03,375000,393,9582071071,Purchase
Nancy Gonzalez,Margaret Smith,700,N,2025-01-03,457600,394,2266401279,Purchase
Robert Rodriguez,Anthony Brown,804,N,2025-01-03,212500,395,1555471204,Purchase
Matthew Wright,Mark Nguyen,759,N,2025-01-03,348000,396,9053844265,Purchase
Emily Robinson,James Harris,668,N,2025-01-03,364000,397,1283898031,Purchase
Thomas Allen,Kimberly Johnson,783,N,2025-01-03,3500000,398,4532614667,Purchase
Sandra White,Daniel Smith,767,N,2025-01-03,760000,399,5119393502,Purchase
Sandra Thompson,Andrew Smith,796,N,2025-01-03,284050,400,6543164527,Purchase
Charles White,Charles King,737,N,2025-01-03,171000,401,6125512541,Purchase
Donna Anderson,Elizabeth Martinez,771,N,2025-01-03,256000,402,2039599840,Purchase
Sarah Scott,David Brown,792,N,2025-01-13,236252,403,7574309093,Purchase
Betty Anderson,Steven Martinez,696,N,2025-01-13,162291,404,7858922607,Purchase
John Rodriguez,Matthew Walker,747,N,2025-01-13,355000,405,1796471997,Purchase
Kimberly Gonzalez,Nancy Rodriguez,643,N,2025-01-13,361250,406,1234407563,Purchase
Karen Brown,Matthew Thomas,728,N,2025-01-13,10000,407,2083573741,Purchase
Sandra Jones,Elizabeth Brown,747,N,2025-01-13,315250,408,9424693656,Purchase
Matthew Lee,Jessica Rodriguez,672,N,2025-01-13,294074,409,2073305498,Purchase
Jessica Brown,,751,N,2025-01-13,140000,410,5705265132,Cash-Out Refinance
Steven Martinez,Michelle Garcia,775,N,2025-01-13,565250,411,7148473527,Purchase
Anthony Harris,Kimberly Moore,731,N,2025-01-13,314204,412,6614931421,Purchase
Lisa Brown,Paul Williams,728,N,2025-01-13,380000,413,6607822278,Purchase
Christopher Garcia,Lisa Robinson,808,N,2025-01-13,662287,414,3668778202,Purchase
Sandra Jones,Elizabeth Brown,747,N,2025-01-13,16250,415,121239939,Purchase
Linda Johnson,,709,N,2025-01-13,530000,416,6365191961,Cash-Out Refinance
Richard Wilson,,652,N,2025-01-13,155677,417,5152885966,Cash-Out Refinance
Lisa Miller,Ashley Smith,759,N,2025-01-13,441849,418,3658282614,Purchase
Karen Anderson,Kimberly Taylor,710,N,2025-01-13,393277,419,9020011957,Purchase
Michael Moore,Matthew Lopez,768,N,2025-01-13,748840,420,2514647036,Purchase
Christopher Rodriguez,Matthew Lee,707,N,2025-01-13,215050,421,1174917652,Purchase
Richard Perez,Sarah Sanchez,697,N,2025-01-13,143550,422,6198244488,Purchase
Michelle Lopez,Karen Smith,801,N,2025-01-03,260000,423,9946878220,Purchase
Matthew Rodriguez,"Michael Hernandez,Daniel Lopez,Steven Brown,Sandra Smith",812,N,2025-01-03,598500,424,4642531834,Purchase
Barbara Harris,Sandra Jackson,773,N,2025-01-03,210000,425,5172305682,Purchase
Sarah Harris,Michelle Scott,746,N,2025-01-03,272000,426,5381890240,Purchase
Ashley Smith,"Donna Ramirez,Mark Wright",703,N,2025-01-03,145112,427,5338522700,Purchase
Matthew Hernandez,Andrew Gonzalez,813,N,2025-01-03,368000,428,98433277,Purchase
Susan Taylor,Jessica Thomas,748,N,2025-01-03,768400,429,4510246081,Purchase
Andrew King,Elizabeth Torres,802,N,2025-01-03,192000,430,6278907700,Purchase
John Hill,Ashley Flores,784,N,2025-01-03,310000,431,1300086317,Purchase
Joseph Perez,Thomas Garcia,638,N,2025-01-03,5100,432,715346850,Purchase
Christopher Moore,Andrew Wilson,798,N,2025-01-03,461945,433,8051312400,Purchase
Nancy Hernandez,,0,N,2025-01-07,24754.51,434,7077189859,Cash-Out Refinance
Barbara Brown,Anthony Rodriguez,781,N,2025-01-07,612000,435,2747378643,Purchase
Nancy Smith,Daniel Flores,770,N,2025-01-07,450000,436,3519297527,Purchase
Michelle Torres,Joshua Robinson,813,N,2025-01-07,425250,437,839773499,Purchase
Donna Clark,Paul Allen,816,N,2025-01-07,637500,438,8972107876,Purchase
Elizabeth Thomas,Robert Lee,694,N,2025-01-07,392755,439,7693495157,Purchase
Susan Torres,,794,N,2025-01-06,407000,440,6854965988,NoCash-Out Refinance
Sarah Anderson,Karen Rodriguez,626,N,2025-01-06,149826,441,9904457909,Purchase
Steven Martin,Emily Allen,812,N,2025-01-06,59247,442,6340232881,Purchase
John Harris,Michael Rodriguez,686,N,2025-01-06,587500,443,4684245274,Purchase
Mary Jones,Nancy Torres,801,N,2025-01-06,431980,444,3035568956,Purchase
David Thomas,Michael Perez,807,N,2025-01-06,440000,445,9604410043,Purchase
Michelle Robinson,Linda Nguyen,772,N,2025-01-06,524000,446,8699560413,Purchase
Andrew Jackson,Daniel Garcia,786,N,2025-01-06,764900,447,839649885,Purchase
Mark Johnson,Richard Garcia,754,N,2025-01-06,700000,448,2293435840,Purchase
Andrew Hill,Andrew Rodriguez,725,N,2025-01-06,350000,449,7131814839,Purchase
Paul Lee,Charles Young,808,N,2025-01-07,207783,450,6640729387,Purchase
Lisa King,Daniel Allen,762,N,2025-01-07,425000,451,3477703560,Purchase
Sandra Perez,,740,N,2025-01-07,55000,452,2015600920,Cash-Out Refinance
Elizabeth Brown,Daniel Lee,797,N,2025-01-07,430000,453,2073136395,Purchase
Barbara Johnson,,667,N,2025-01-07,165000,454,2589725763,Cash-Out Refinance
Michael Torres,Michael Jackson,777,N,2025-01-07,960000,455,7257534786,Purchase
Charles Jones,,708,N,2025-01-07,154800,456,7850035571,Cash-Out Refinance
Joseph Taylor,Ashley Ramirez,709,N,2025-01-07,117077,457,3326398827,Purchase
Ashley Gonzalez,,771,N,2025-01-07,67000,458,4630176630,Purchase
Nancy Taylor,Matthew King,785,N,2025-01-07,259000,459,4832260779,Purchase
Joseph Brown,Lisa Jones,629,N,2025-01-07,358388,460,7314355708,Purchase
Sandra Lopez,Nancy Jones,776,N,2025-01-07,680000,461,3817064196,Purchase
Richard Harris,Susan Miller,751,N,2025-01-07,305550,462,5721378504,Purchase
Kimberly Martin,Mark Allen,788,N,2025-01-07,610000,463,2411515137,Purchase
Donald Martin,Michelle Miller,727,N,2025-01-02,455000,464,598191166,Purchase
Christopher Garcia,Betty Perez,787,N,2025-01-02,543750,465,8109946420,Purchase
Ashley Thompson,,771,N,2025-01-02,445000,466,5539442887,Cash-Out Refinance
Daniel Robinson,"Barbara Davis,",691,N,2025-01-02,753967,467,3197543853,Purchase
Barbara Perez,,818,N,2025-01-02,445000,468,2684161444,Cash-Out Refinance
Karen Taylor,Anthony White,804,N,2025-01-02,1160000,469,4447513818,NoCash-Out Refinance
Sandra Martin,,762,N,2025-01-02,1168500,470,6211496955,NoCash-Out Refinance
Joseph Robinson,Susan Jackson,751,N,2025-01-02,1240000,471,4385772803,Purchase
Emily Allen,Matthew Garcia,787,N,2025-01-02,523968,472,5643670301,Purchase
John Perez,Karen Rodriguez,791,N,2025-01-02,322492,473,748040203,Purchase
Karen Rodriguez,Michael Thomas,799,N,2025-01-02,445000,474,7295268456,Purchase
Joseph Perez,Karen Lee,737,N,2025-01-02,269500,475,6287407316,Purchase
Steven Jackson,Mary Torres,780,N,2025-01-02,600000,476,20241793,Purchase
David Lee,Elizabeth Nguyen,695,N,2025-01-02,516000,477,1924666622,Purchase
Christopher Rodriguez,Barbara Taylor,717,N,2025-01-02,1350000,478,9923178984,Purchase
Donald Taylor,,728,N,2025-01-02,583000,479,3167419375,Cash-Out Refinance
Charles Brown,,708,N,2025-01-02,345216,480,4637817654,NoCash-Out Refinance
Mary Johnson,Thomas Brown,790,N,2025-01-02,652000,481,9711442156,Purchase
Robert Allen,Jessica Wright,746,N,2025-01-02,563603,482,7315547798,Purchase
Christopher Anderson,Ashley Walker,720,N,2025-01-02,349200,483,1383776277,Purchase
Christopher Anderson,Ashley Walker,720,N,2025-01-02,13968,484,2646904165,Purchase
James Jones,William Rodriguez,810,N,2025-01-02,688000,485,3506376749,Purchase
Betty Rodriguez,Kimberly Wilson,781,N,2025-01-02,430500,486,2842998872,Purchase
Joseph Lewis,Steven Garcia,800,N,2025-01-02,240000,487,9747525409,Purchase
Paul Anderson,Michael Lopez,783,N,2025-01-02,781850,488,6467264619,Purchase
Margaret Flores,William Allen,808,N,2025-01-02,353000,489,4981593856,Purchase
Sarah Scott,James Thompson,692,N,2025-01-03,315000,490,4590690217,Purchase
David Lee,Betty Martinez,775,N,2025-01-02,787500,491,5732067258,Purchase
Steven Martinez,Susan Robinson,633,N,2025-01-02,550831,492,3535247096,Purchase
Barbara Taylor,Mark Lee,775,N,2025-01-02,441750,493,9545750984,Purchase
Patricia Wright,"Richard Anderson,Ashley Allen",741,N,2025-01-02,440000,494,9073120743,Purchase
Christopher Smith,Lisa Jones,759,N,2025-01-02,546300,495,9970090214,Purchase
Mark Harris,William Garcia,745,N,2025-01-03,300000,496,8637799456,Purchase
John Thompson,Elizabeth Smith,790,N,2025-01-03,1275000,497,8214736886,Purchase
Linda Lee,Charles Wilson,801,N,2025-01-03,1340000,498,9334064553,Purchase
Richard Young,Charles Torres,729,N,2025-01-03,126161,499,7195479110,Purchase
Patricia Moore,Joseph King,747,N,2025-01-03,295000,500,2248292048,Purchase
Joshua Thomas,Karen Anderson,806,N,2025-01-03,197500,501,7425290508,Purchase
Betty Johnson,Karen Robinson,698,N,2025-01-03,333000,502,6368421818,Purchase
Daniel Sanchez,Jennifer Miller,756,N,2025-01-03,391410,503,9585856243,Purchase
Donna Flores,Michael Torres,780,N,2025-01-06,355000,504,9563151763,Purchase
Matthew Davis,Paul Thomas,805,N,2025-01-06,330000,505,8316955628,Purchase
Paul Jackson,Nancy Sanchez,734,N,2025-01-07,129500,506,4326140966,Purchase
Betty Johnson,"Donna Brown,Daniel Rodriguez",766,N,2025-01-07,320000,507,3886191454,Purchase
Thomas Wilson,Nancy Taylor,669,N,2025-01-07,234671,508,6631979814,Purchase
Michelle Thompson,,698,N,2025-01-07,525030,509,9119748795,Cash-Out Refinance
David Young,Barbara Wilson;Thomas Perez,638,N,2025-01-07,193325,510,6494275348,Purchase
Joshua Young,Andrew Flores,792,N,2025-01-07,597500,511,5480552512,Purchase
Margaret Taylor,William Brown,666,N,2025-01-07,379999,512,6577620087,Purchase
William Torres,Charles Torres,808,N,2025-01-07,449600,513,3985844296,Purchase
Joseph Sanchez,,784,N,2025-01-07,427100,514,6043378031,NoCash-Out Refinance
Joseph Torres,Daniel Brown,613,N,2025-01-07,314204,515,7254388,Purchase
Kimberly Torres,Steven White,810,N,2025-01-03,159000,516,8434860686,Purchase
Betty Torres,Emily Lewis,793,N,2025-01-03,299900,517,6023376268,Purchase
Sarah Scott,Anthony Hernandez,732,N,2025-01-03,356387,518,4160370856,Purchase
Anthony Rodriguez,Donna Martin,784,N,2025-01-03,300000,519,8004715499,Purchase
Patricia Moore,Joseph King,747,N,2025-01-03,30000,520,8860459379,Purchase
Margaret Thomas,,754,N,2025-01-03,86250,521,7701823200,Cash-Out Refinance
Joseph Walker,Margaret Brown,744,N,2025-01-03,576000,522,201215582,Purchase
Michael Thompson,Linda Flores,730,N,2025-01-03,741750,523,3065780374,Purchase
David Brown,Michelle Allen,765,N,2025-01-03,332500,524,3758688691,Purchase
Betty Jones,James Jackson,681,N,2025-01-03,152192,525,5059109081,Purchase
Joseph Jones,James Torres,726,N,2025-01-03,208550,526,1688509489,Purchase
Emily Williams,Sarah Wilson,798,N,2025-01-03,192000,527,2400297779,Purchase
Kimberly Lewis,,751,N,2025-01-08,1435000,528,7626336850,Cash-Out Refinance
Ashley Clark,,775,N,2025-01-08,334650,529,5571000041,Cash-Out Refinance
Michael Lopez,William Wright,710,N,2025-01-08,630000,530,6759473451,Purchase
Joseph Lee,Sarah Moore,791,N,2025-01-08,760000,531,5722977857,Purchase
Patricia Harris,Nancy Anderson,671,N,2025-01-08,225834,532,9938944319,Purchase
Daniel Perez,Robert White,770,N,2025-01-08,512000,533,2712655891,Purchase
Jennifer Gonzalez,,772,N,2025-01-08,642000,534,8492588994,NoCash-Out Refinance
Robert Martin,Kimberly King,759,N,2025-01-08,657864,535,3784308161,Purchase
Margaret Flores,Donna Brown,809,N,2025-01-08,372000,536,2297865226,Purchase
Jennifer Sanchez,,760,N,2025-01-08,640000,537,9122408034,NoCash-Out Refinance
Patricia Harris,Nancy Anderson,649,N,2025-01-08,9033,538,6614782878,Purchase
Patricia Allen,Emily Harris,751,N,2025-01-08,990000,539,3437465778,Purchase
Susan Sanchez,,680,N,2025-01-08,56500,540,9314887251,Purchase
Mary Flores,Paul Lewis,602,N,2025-01-08,450744,541,3575972463,Purchase
Margaret King,Daniel Allen,774,N,2025-01-08,102750,542,7893863505,Purchase
Michael Lewis,Patricia Wilson,782,N,2025-01-08,328000,543,2569718503,Purchase
Betty Jones,Lisa Davis,810,N,2025-01-09,166700,544,3058939718,Purchase
Donna Thompson,"Elizabeth Scott,Elizabeth Moore,Elizabeth Ramirez",730,N,2025-01-09,379050,545,3609855313,Purchase
Kimberly Martin,Charles Lopez,756,N,2025-01-09,504000,546,6014673250,Purchase
Elizabeth Wilson,Thomas Scott,688,N,2025-01-09,160538,547,2730140770,Purchase
James Wright,Patricia Hill,770,N,2025-01-09,264600,548,9289885230,Purchase
James Brown,Elizabeth Martinez,642,N,2025-01-09,382936,549,18571441,Purchase
Elizabeth Hill,Emily Wilson,792,N,2025-01-09,315003,550,3464432179,Purchase
Christopher Harris,David Brown,746,N,2025-01-09,170925,551,151555644,Purchase
Betty Garcia,Andrew Sanchez,809,N,2025-01-09,341550,552,3133818305,Purchase
Anthony Torres,Susan Nguyen,625,N,2025-01-09,265478,553,5408800983,Purchase
Michael Nguyen,Susan Moore,701,N,2025-01-09,185250,554,9133147735,Purchase
Patricia Williams,Betty Flores,616,N,2025-01-09,162011,555,6667871112,Purchase
William Garcia,Lisa Robinson,779,N,2025-01-09,273055,556,3657341784,Purchase
Michelle Gonzalez,Mary Ramirez,733,N,2025-01-09,941850,557,8081118478,Purchase
Anthony Davis,Andrew Lewis,797,N,2025-01-09,360000,558,2769547311,Purchase
Ashley Thomas,Donna Anderson,637,N,2025-01-09,382580,559,6074714344,Purchase
Patricia Anderson,Mark Thomas,709,N,2025-01-07,270019,560,1965778947,Purchase
Linda Davis,,741,N,2025-01-07,300000,561,9855660582,Purchase
Steven King,Jessica Williams,730,N,2025-01-07,147283,562,1995890503,Purchase
James Torres,,740,N,2025-01-07,170400,563,3392140435,Purchase
Linda Robinson,,751,N,2025-01-07,200000,564,7643790639,Cash-Out Refinance
James Wright,John Johnson,728,N,2025-01-14,332500,565,4633333399,Purchase
Sandra Thompson,Lisa Torres,761,N,2025-01-14,213100,566,7032425048,Purchase
Mark Garcia,,774,N,2025-01-14,280800,567,7017478970,NoCash-Out Refinance
Kimberly Sanchez,John Lopez,711,N,2025-01-14,338751,568,7045749322,Purchase
Thomas Smith,Robert Scott,761,N,2025-01-14,562875,569,4446752656,Purchase
Michael Robinson,Karen Walker,665,N,2025-01-14,181550,570,5341727430,Purchase
Thomas Smith,Daniel Martinez,761,N,2025-01-14,15000,571,9734604413,Purchase
Linda Brown,Jennifer Davis,776,N,2025-01-14,565500,572,876558405,Purchase
Christopher Thompson,Kimberly Robinson,782,N,2025-01-14,808000,573,3208069510,Purchase
Charles Thomas,Ashley Robinson,725,N,2025-01-08,296250,574,2799024397,Purchase
Christopher Rodriguez,,797,N,2025-01-08,332655,575,3368399171,NoCash-Out Refinance
Richard Williams,Elizabeth Miller,745,N,2025-01-08,351500,576,5450328779,Purchase
Michael Taylor,Margaret Gonzalez,806,N,2025-01-08,288750,577,8806181112,Purchase
Joseph Perez,Jennifer Torres,688,N,2025-01-08,284050,578,1857985848,Purchase
Patricia Ramirez,Ashley Thompson,761,N,2025-01-08,312000,579,3977735960,Purchase
Karen Lopez,Barbara Allen,758,N,2025-01-08,256000,580,1375235620,Purchase
Emily Martin,David Lee,749,N,2025-01-08,375000,581,4439571691,Purchase
Nancy King,Michelle Miller,792,N,2025-01-08,200000,582,5139347689,Purchase
Anthony Allen,"Nancy Thomas,Mark Wright",797,N,2025-01-08,850000,583,4651298978,Purchase
John Brown,,623,N,2025-01-08,205100,584,972550327,Cash-Out Refinance
Linda Robinson,Margaret Hill,793,N,2025-01-08,392000,585,9291336969,Purchase
Robert Lopez,,759,N,2025-01-08,321772,586,5222431831,Cash-Out Refinance
Mark Perez,Sandra Moore,793,N,2025-01-08,744000,587,8994337596,Purchase
John Lopez,Michael White,800,N,2025-01-08,165000,588,7755840353,Purchase
John Gonzalez,Charles Sanchez,805,N,2025-01-08,433600,589,3215433275,Purchase
Mark Wright,Lisa Smith,699,N,2025-01-08,158110,590,2284733308,Purchase
Charles Perez,Anthony Moore,728,N,2025-01-14,256000,591,2335384921,Purchase
Lisa Jones,Nancy Clark,775,N,2025-01-14,120000,592,415697194,Cash-Out Refinance
David Martin,Barbara Davis,765,N,2025-01-14,364000,593,7629765102,Purchase
Ashley Garcia,Karen King,653,N,2025-01-08,202991,594,3251530133,Purchase
Linda Allen,Sandra Allen,785,N,2025-01-08,280000,595,6986092644,Purchase
John Walker,Donald Davis,689,N,2025-01-08,659340,596,1395292996,Purchase
Jennifer Anderson,Charles Williams,715,N,2025-01-08,272000,597,2545479735,Purchase
Paul Hernandez,"Margaret Thompson,Joseph Anderson",765,N,2025-01-08,540000,598,4169261857,Purchase
Mark Thompson,John Miller,652,N,2025-01-17,115800,599,5796099759,Purchase
Kimberly Harris,Christopher Lopez,704,N,2025-01-17,337095,600,8752704520,Purchase
Joshua Nguyen,John Harris,764,N,2025-01-17,120000,601,3189548267,Purchase
Steven Smith,,592,N,2025-01-17,223850,602,8504585645,Cash-Out Refinance
Mary Williams,Christopher Taylor,652,N,2025-01-17,206196,603,793280008,Purchase
William Robinson,Jessica Anderson,776,N,2025-01-17,430402,604,7202298377,Purchase
Donald Brown,,657,N,2025-01-17,284900,605,7123492879,Cash-Out Refinance
Charles Sanchez,Michael Williams,762,N,2025-01-17,190000,606,7699904824,Purchase
Christopher Robinson,Jennifer Garcia,666,N,2025-01-17,459146,607,7998078001,Purchase
Betty Anderson,Donna Miller,750,N,2025-01-17,147440,608,2000534154,Purchase
Donald Jackson,Lisa Robinson,816,N,2025-01-17,5745,609,3263135095,Purchase
Karen Miller,David White,773,N,2025-01-17,630750,610,3256789503,Purchase
Patricia Gonzalez,"Kimberly Moore,Robert Smith",793,N,2025-01-17,644000,611,3407343458,Purchase
Mary Lopez,"Betty Scott,Paul Gonzalez",797,N,2025-01-17,310786,612,9790625753,Purchase
Patricia Jones,Linda Allen,782,N,2025-01-17,939286,613,9086134375,Purchase
Linda Thomas,Joseph Hill,783,N,2025-01-17,788800,614,7245928630,Purchase
Joshua Wilson,,759,N,2025-01-08,325000,615,1531683525,Cash-Out Refinance
Charles Taylor,Margaret Lee,797,N,2025-01-08,232425,616,9810660892,Purchase
Jennifer Miller,Emily Flores,672,N,2025-01-08,276358,617,8251066448,Purchase
Sarah Torres,Charles Davis,786,N,2025-01-08,352000,618,2517084233,Purchase
Jessica Miller,Richard Moore,799,N,2025-01-08,55000,619,6031156583,Purchase
Michael Lewis,,823,N,2025-01-08,540000,620,4396420472,NoCash-Out Refinance
Betty Smith,Patricia Sanchez,797,N,2025-01-08,340000,621,62625129,Purchase
Daniel Hill,,680,N,2025-01-02,324000,622,495300862,Cash-Out Refinance
John Garcia,Ashley Lee,802,N,2025-01-02,122350,623,6796344106,Purchase
Anthony Brown,,672,N,2025-01-02,498000,624,5821807250,NoCash-Out Refinance
Patricia Nguyen,Susan Perez,776,N,2025-01-02,445776,625,3806103936,Purchase
Christopher Hernandez,Mary Jackson,736,N,2025-01-02,462784,626,927652084,Purchase
Jessica Harris,Steven White,798,N,2025-01-02,396000,627,1129912300,Purchase
Robert Flores,Sandra Hill,789,N,2025-01-02,315250,628,9617418377,Purchase
Emily Wilson,,802,N,2025-01-02,739000,629,6816568291,NoCash-Out Refinance
Michael Hernandez,"Michael Lopez,Betty Sanchez,Matthew Sanchez",741,N,2025-01-02,232800,630,5130635303,Purchase
John Williams,James Taylor,727,N,2025-01-02,250000,631,2291876739,Purchase
John Thomas,Robert Martin,617,N,2025-01-02,352818,632,6459501837,Purchase
Michael Lopez,Susan King,694,N,2025-01-02,744800,633,4044828747,Purchase
Jessica Taylor,David Jones,776,N,2025-01-02,153750,634,2760100794,Purchase
Jessica Torres,Mark Wilson,749,N,2025-01-02,276000,635,1410835564,Purchase
Thomas Davis,Kimberly Lewis,778,N,2025-01-02,195000,636,513926757,Purchase
Barbara Perez,James Brown,626,Y,2025-01-02,500752,637,4337849707,Purchase
Barbara Walker,,720,N,2025-01-02,951300,638,9849440692,Cash-Out Refinance
Matthew Johnson,James Hill,752,N,2025-01-02,624000,639,5729670168,Purchase
Matthew Thompson,Margaret Smith,755,N,2025-01-02,485000,640,5402134884,Purchase
Margaret Davis,Charles Jackson,730,N,2025-01-02,710000,641,2611686370,Purchase
Thomas Rodriguez,Elizabeth Thompson,642,N,2025-01-10,283410,642,7581401953,Purchase
Emily Martinez,Michelle Ramirez,808,N,2025-01-02,350000,643,7129336326,Purchase
Joseph Perez,Elizabeth White,790,N,2025-01-02,508500,644,3947994580,Purchase
Steven Lopez,Betty Sanchez,709,N,2025-01-10,388000,645,7238479753,Purchase
Michelle Lopez,Patricia Jones,745,N,2025-01-10,520000,646,5473595414,Purchase
Joseph Martin,William Johnson,799,N,2025-01-10,344000,647,3868181536,Purchase
Joshua Hernandez,"Andrew Perez,Sandra King",688,N,2025-01-10,393772,648,5233562724,Purchase
Donna Anderson,Kimberly Nguyen,761,N,2025-01-10,418500,649,7126763590,Purchase
Kimberly Garcia,James Johnson,773,N,2025-01-10,728000,650,1414946408,Purchase
Michael Johnson,"Christopher Williams,Paul Ramirez",798,N,2025-01-10,352450,651,2429038541,Purchase
Ashley Robinson,Donald Anderson,762,N,2025-01-10,403200,652,9185608105,Purchase
Nancy Wilson,Charles Young,732,N,2025-01-10,295000,653,3994031225,Purchase
Patricia Hernandez,Michael Flores,768,N,2025-01-10,175000,654,3294430587,Purchase
Sarah Flores,Robert Rodriguez,703,N,2025-01-10,242500,655,1184274350,Purchase
Donald Young,Matthew Hernandez,735,N,2025-01-10,300105,656,967838832,Purchase
David White,William Wilson,762,N,2025-01-10,244000,657,3120526751,Purchase
